round,species,regime,share_before,percentage_before,initial_mass,final_mass,mass_change,payoff
10,predator,M1,0.0666666666666667,6.66666666666667,0.06666666666666668,0.053328052375937234,-0.013338614290729446,0.9539986741691631
10,predator,M2,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.007996052229197472,-0.0020039477708025267,0.9576399607585129
11,prey,D,0.95,95.0,0.9499999999999996,1.1045533070588842,0.1545533070588846,0.9590325011927268
11,prey,N,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.01143184956148774,0.001431849561487739,0.9824957061348614
11,prey,P1,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.01150103463851543,0.001501034638515428,0.9757857248861991
11,prey,P2,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011596367159643246,0.0015963671596432444,0.9701400637167978
11,prey,M1,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011408505349600107,0.001408505349600105,0.9791102638577892
11,prey,M2,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011603090431650982,0.0016030904316509803,0.9668676724438845
11,predator,D,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.00825245423879686,-0.0017475457612031384,0.9337066386884575
11,predator,N,0.38000000000000006,38.00000000000001,0.38,0.2971879995760669,-0.08281200042393311,0.9567131911874068
11,predator,P1,0.58,57.99999999999999,0.58,0.4667473785760962,-0.11325262142390374,0.9624582146577914
11,predator,P2,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.008025674392887384,-0.0019743256071126144,0.9541712085553303
11,predator,M1,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.008038753429737644,-0.0019612465702623545,0.9583819937740207
11,predator,M2,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.008039468581289693,-0.0019605314187103057,0.958549488057394
12,prey,D,0.85,85.0,0.8500000000000001,0.9928065653798425,0.14280656537984238,0.9590584057981134
12,prey,N,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.01141018466566112,0.0014101846656611183,0.9801849297025904
12,prey,P1,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.01150741044885872,0.0015074104488587182,0.9763690492025762
12,prey,P2,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011628289678255911,0.0016282896782559095,0.9668201255278414
12,prey,M1,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.01140105929561939,0.001401059295619388,0.9792265345222337
12,prey,M2,0.11000000000000001,11.000000000000002,0.1100000000000001,0.1280272750064627,0.01802727500646259,0.9643790982820454
12,predator,D,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.008165317690078673,-0.0018346823099213254,0.9245124629483332
12,predator,N,0.28,28.000000000000004,0.28,0.21871222828953402,-0.06128777171046601,0.9665685703783149
12,predator,P1,0.6799999999999999,68.0,0.6799999999999998,0.5425459678488859,-0.13745403215111396,0.9585715913978741
12,predator,P2,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.007951042649694989,-0.0020489573503050095,0.952262140995159
12,predator,M1,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.007970425748260427,-0.002029574251739571,0.9499490299859908
12,predator,M2,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.007963726917105927,-0.0020362730828940717,0.9572233933196375
13,prey,D,0.95,95.0,0.9499999999999996,1.104553307058884,0.15455330705888437,0.9590325011927268
13,prey,N,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011431849561487744,0.0014318495614877424,0.9824957061348613
13,prey,P1,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011501034638515423,0.0015010346385154211,0.9757857248861991
13,prey,P2,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011596367159643248,0.0015963671596432461,0.9701400637167977
13,prey,M1,0.010000000000000002,1.0000000000000002,0.010000000000000002,0.011408505349600103,0.0014085053496001015,0.9791102638577891
13,prey,M2,0.010000000000000009,1.0000000000000009,0.01000000000000001,0.011603090431650994,0.0016030904316509838,0.9668676724438844
13,predator,D,0.010000000000000002,1.0000000000000002,0.009999999999999998,0.008252454238796862,-0.0017475457612031366,0.9337066386884576
13,predator,N,0.38,38.0,0.38,0.29718799957606684,-0.08281200042393316,0.9567131911874068
13,predator,P1,0.58,57.99999999999999,0.58,0.46674737857609616,-0.1132526214239038,0.9624582146577914
